DATE,DEXCHUS
1/2/09,6.8225
1/5/09,6.83
1/6/09,6.836
1/7/09,6.833
1/8/09,6.8342
1/9/09,6.835
1/12/09,6.8362
1/13/09,6.8341
1/14/09,6.8347
1/15/09,6.8363
1/16/09,6.8369
1/20/09,6.8403
1/21/09,6.8392
1/22/09,6.837
1/23/09,6.8392
1/26/09,6.8392
1/27/09,6.8392
1/28/09,6.8392
1/29/09,6.8392
1/30/09,6.8392
2/2/09,6.847
2/3/09,6.8399
2/4/09,6.8335
2/5/09,6.8355
2/6/09,6.8338
2/9/09,6.8392
2/10/09,6.8241
2/11/09,6.8332
2/12/09,6.8345
2/13/09,6.8392
2/17/09,6.8355
2/18/09,6.8378
2/19/09,6.8348
2/20/09,6.8367
2/23/09,6.8355
2/24/09,6.8368
2/25/09,6.8369
2/26/09,6.8361
2/27/09,6.8395
3/2/09,6.8438
3/3/09,6.8413
3/4/09,6.8432
3/5/09,6.8406
3/6/09,6.8395
3/9/09,6.8398
3/10/09,6.841
3/11/09,6.8399
3/12/09,6.8383
3/13/09,6.838
3/16/09,6.8381
3/17/09,6.8369
3/18/09,6.8347
3/19/09,6.824
3/20/09,6.8277
3/23/09,6.8335
3/24/09,6.8294
3/25/09,6.8304
3/26/09,6.832
3/27/09,6.831
3/30/09,6.836
3/31/09,6.8329
4/1/09,6.8339
4/2/09,6.834
4/3/09,6.8343
4/6/09,6.8343
4/7/09,6.8361
4/8/09,6.835
4/9/09,6.834
4/13/09,6.8347
4/14/09,6.832
4/15/09,6.8321
4/16/09,6.8316
4/17/09,6.8325
4/20/09,6.8331
4/21/09,6.8254
4/22/09,6.8296
4/23/09,6.8265
4/24/09,6.825
4/27/09,6.827
4/28/09,6.8266
4/29/09,6.8243
4/30/09,6.818
5/1/09,6.818
5/4/09,6.8223
5/5/09,6.8185
5/6/09,6.8176
5/7/09,6.8215
5/8/09,6.82
5/11/09,6.823
5/12/09,6.821
5/13/09,6.822
5/14/09,6.8248
5/15/09,6.8225
5/18/09,6.8265
5/19/09,6.8245
5/20/09,6.8248
5/21/09,6.8245
5/22/09,6.8227
5/26/09,6.8326
5/27/09,6.8272
5/28/09,6.8278
5/29/09,6.8278
6/1/09,6.8264
6/2/09,6.8305
6/3/09,6.829
6/4/09,6.8331
6/5/09,6.8329
6/8/09,6.8371
6/9/09,6.8353
6/10/09,6.833
6/11/09,6.8358
6/12/09,6.8352
6/15/09,6.8361
6/16/09,6.8338
6/17/09,6.8364
6/18/09,6.8344
6/19/09,6.836
6/22/09,6.834
6/23/09,6.8346
6/24/09,6.8307
6/25/09,6.8344
6/26/09,6.833
6/29/09,6.8334
6/30/09,6.8302
7/1/09,6.8331
7/2/09,6.8312
7/6/09,6.8342
7/7/09,6.8326
7/8/09,6.8323
7/9/09,6.8317
7/10/09,6.8325
7/13/09,6.8326
7/14/09,6.833
7/15/09,6.8315
7/16/09,6.831
7/17/09,6.8309
7/20/09,6.8303
7/21/09,6.83
7/22/09,6.8305
7/23/09,6.8308
7/24/09,6.8313
7/27/09,6.8312
7/28/09,6.8308
7/29/09,6.8314
7/30/09,6.8321
7/31/09,6.8319
8/3/09,6.8308
8/4/09,6.8302
8/5/09,6.8307
8/6/09,6.8312
8/7/09,6.8316
8/10/09,6.8341
8/11/09,6.8349
8/12/09,6.8349
8/13/09,6.8336
8/14/09,6.8341
8/17/09,6.8358
8/18/09,6.8337
8/19/09,6.834
8/20/09,6.8317
8/21/09,6.8313
8/24/09,6.8308
8/25/09,6.8318
8/26/09,6.8309
8/27/09,6.8316
8/28/09,6.83
8/31/09,6.8299
9/1/09,6.8295
9/2/09,6.8303
9/3/09,6.8298
9/4/09,6.8293
9/8/09,6.827
9/9/09,6.8286
9/10/09,6.8291
9/11/09,6.828
9/14/09,6.8282
9/15/09,6.8289
9/16/09,6.8247
9/17/09,6.8262
9/18/09,6.827
9/21/09,6.8287
9/22/09,6.8268
9/23/09,6.8254
9/24/09,6.8263
9/25/09,6.8273
9/28/09,6.8265
9/29/09,6.8273
9/30/09,6.8262
10/1/09,6.826
10/2/09,6.826
10/5/09,6.826
10/6/09,6.826
10/7/09,6.826
10/8/09,6.826
10/9/09,6.8248
10/12/09,.
10/13/09,6.8264
10/14/09,6.8261
10/15/09,6.827
